Date,Nation,Metric,Deaths
24/05/2020,Scotland,CumDeathsByDate,
25/05/2020,Scotland,CumDeathsByDate,
25/05/2020,Wales,CumDeathsByDate,1310
25/05/2020,England,CumDeathsByDate,34350
25/05/2020,Northern Ireland,CumDeathsByDate,
26/05/2020,Northern Ireland,CumDeathsByDate,
26/05/2020,Scotland,CumDeathsByDate,
26/05/2020,Wales,CumDeathsByDate,1320
26/05/2020,England,CumDeathsByDate,34608
27/05/2020,England,CumDeathsByDate,34831
27/05/2020,Wales,CumDeathsByDate,1326
27/05/2020,Northern Ireland,CumDeathsByDate,
27/05/2020,Scotland,CumDeathsByDate,
28/05/2020,Scotland,CumDeathsByDate,
28/05/2020,Wales,CumDeathsByDate,1342
28/05/2020,England,CumDeathsByDate,35065
28/05/2020,Northern Ireland,CumDeathsByDate,
29/05/2020,Northern Ireland,CumDeathsByDate,
29/05/2020,Scotland,CumDeathsByDate,
29/05/2020,Wales,CumDeathsByDate,1353
29/05/2020,England,CumDeathsByDate,35286
30/05/2020,England,CumDeathsByDate,35482
30/05/2020,Wales,CumDeathsByDate,1363
30/05/2020,Northern Ireland,CumDeathsByDate,
30/05/2020,Scotland,CumDeathsByDate,
31/05/2020,Scotland,CumDeathsByDate,
31/05/2020,Wales,CumDeathsByDate,1370
31/05/2020,England,CumDeathsByDate,35661
31/05/2020,Northern Ireland,CumDeathsByDate,
01/06/2020,Northern Ireland,CumDeathsByDate,
01/06/2020,Scotland,CumDeathsByDate,
01/06/2020,Wales,CumDeathsByDate,1379
01/06/2020,England,CumDeathsByDate,35857
02/06/2020,England,CumDeathsByDate,36075
02/06/2020,Wales,CumDeathsByDate,1384
02/06/2020,Northern Ireland,CumDeathsByDate,
02/06/2020,Scotland,CumDeathsByDate,
03/06/2020,Scotland,CumDeathsByDate,
03/06/2020,England,CumDeathsByDate,36258
03/06/2020,Wales,CumDeathsByDate,1391
03/06/2020,Northern Ireland,CumDeathsByDate,
04/06/2020,Northern Ireland,CumDeathsByDate,
04/06/2020,Scotland,CumDeathsByDate,
04/06/2020,Wales,CumDeathsByDate,1403
04/06/2020,England,CumDeathsByDate,36435
05/06/2020,Wales,CumDeathsByDate,1407
05/06/2020,England,CumDeathsByDate,36609
05/06/2020,Northern Ireland,CumDeathsByDate,
05/06/2020,Scotland,CumDeathsByDate,
06/06/2020,Scotland,CumDeathsByDate,
06/06/2020,England,CumDeathsByDate,36765
06/06/2020,Wales,CumDeathsByDate,1416
06/06/2020,Northern Ireland,CumDeathsByDate,
07/06/2020,Northern Ireland,CumDeathsByDate,
07/06/2020,Scotland,CumDeathsByDate,
07/06/2020,Wales,CumDeathsByDate,1424
07/06/2020,England,CumDeathsByDate,36931
08/06/2020,England,CumDeathsByDate,37094
08/06/2020,Wales,CumDeathsByDate,1431
08/06/2020,Northern Ireland,CumDeathsByDate,
08/06/2020,Scotland,CumDeathsByDate,
09/06/2020,Scotland,CumDeathsByDate,
09/06/2020,England,CumDeathsByDate,37258
09/06/2020,Wales,CumDeathsByDate,1435
09/06/2020,Northern Ireland,CumDeathsByDate,
10/06/2020,Northern Ireland,CumDeathsByDate,
